date,nsya,na,nfd,ace,nyi,ics,ute,utep,uts,utsp,its,itsp,total
2025-04-01,323,4,16,47,160,14,10,1,5,45,0,0,625
2025-04-15,324,4,16,47,156,14,10,1,5,49,0,0,626
2025-04-22,323,4,16,47,145,17,10,1,6,74,0,0,645
